1,B,Study of a Pediment,Anonymous/ French/ 18th century,18. Jahrhundert,Sonstiges,17,2720,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,10,18,15,20,58,74,388078
2,B,The Preacher,Willem de Kooning,1971,Hyperrealismus,57,2297,Eremitage,Palace Square 2/St Petersburg/Russland,76,56,15,20,54,68,373596
3,B,Maureen O'Sullivan Fox from Cutout Head Strip Cards (W500),,ca. 1920–30,Portraits,15,1952,National Gallery,Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich,8,6,2,15,40,68,812870
4,B,North Sea Fishermen,B. J. O. Nordfeldt,1906,Expressionismus,76,1536,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,23,38,9,16,43,59,746440
5,B,Floréal Pl. 15,Emile-Allain Séguy,1925 oder früher,Sonstiges,60,4948,Eremitage,Palace Square 2/St Petersburg/Russland,44,38,2,17,52,72,747735
6,B,The Plans Elevations and Sections; Chimney-Pieces and Cielings [sic] of Houghton in Norfolk; Built by the Rt. Honourable Sr. Robert Walpole . . . With a Description of the House and of the Elegant Collection of Pictures,Isaac Ware,1755,Rokoko,67,4020,Eremitage,Palace Square 2/St Petersburg/Russland,58,45,7,13,42,61,350856
7,B,Washington Statue. Fairmount Park from Philadelphia Pennsylvania souvenir views (W500),,ca. 1930–40,Sonstiges,1,3301,Eremitage,Palace Square 2/St Petersburg/Russland,4,6,5,16,44,59,826855
8,B,A pamphlet with a song 'La Noche Serena' a couple playing music in a rowboat (recto) and two figures styled as coins fighting (verso),Manuel Manilla,ca. 1900 (veröffentlicht später?),Sonstiges,73,1984,Bode-Museum,Am Kupfergraben/10117 Berlin/Deutschland,30,20,1,13,51,62,737566
9,B,Ornamento delle belle & virtuose donne page 14 (recto),Matteo Pagano,1554,Tiere,47,4916,Bode-Museum,Am Kupfergraben/10117 Berlin/Deutschland,19,15,15,22,40,57,660197
10,B,Great Western General Booking Office,John Doyle,August 31 1837,Romantik,7,2163,Rijksmuseum Amsterdam,Museumstraat 1/1071 XX Amsterdam/Niederlande,30,44,8,25,53,69,736611
