1,B,Lady Heathcote,James Ward,1804,Romantik,61,4162,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,66,45,13,25,56,66,680679
2,B,View of a Temple from Temples in the Ancient Style,Jacques Androuet Du Cerceau,1550,Renaissance,31,2240,Rijksmuseum Amsterdam,Museumstraat 1/1071 XX Amsterdam/Niederlande,13,9,15,21,59,75,735004
3,B,U.S. Navy Commander from the Military Series (T81a) issued by Recruit Little Cigars,Recruit Little Cigars,1909–13,Sonstiges,57,3022,Rijksmuseum Amsterdam,Museumstraat 1/1071 XX Amsterdam/Niederlande,7,4,10,16,42,61,784108
4,B,Popular Epithalamium: Marriage of the Prince of Wales (in Good Words for 1863 pp. 104-105),John Leighton,1863,Impressionismus,77,4624,The British Museum,Great Russell St/London WC1B 3DG/Vereinigtes Königreich,23,15,1,19,53,63,647340
5,B,Jack Holt (Paramount) from Western Stars Exhibit Playing Cards (W403),Exhibit Supply Company,ca. 1928,Portraits,43,4472,Rijksmuseum Amsterdam,Museumstraat 1/1071 XX Amsterdam/Niederlande,13,8,11,17,44,55,767589
6,B,Crystal Bezel,Jules-Ferdinand Jacquemart,1868,Impressionismus,67,1250,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,37,28,1,7,58,73,828802
7,B,Lord Lieutenant of Ireland from the Naval Flags series (N17) for Allen & Ginter Cigarettes Brands,Allen & Ginter,ca. 1888,Sonstiges,26,1306,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,7,3,11,16,45,60,408516
8,B,Design for Curtain Coach no. 564,Brewster & Co.,ca. 1870,Impressionismus,9,4066,Bode-Museum,Am Kupfergraben/10117 Berlin/Deutschland,16,23,1,24,51,70,379545
9,B,French Captain from the Military Series (T81a) issued by Recruit Little Cigars,Recruit Little Cigars,1909–13,Sonstiges,47,1608,Eremitage,Palace Square 2/St Petersburg/Russland,7,4,4,11,55,66,784126
10,B,Max und Moritz im Glaspalast und in der Secession 1893,Dr. E. Albert & Co.,1893,Expressionismus,66,1642,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,22,14,3,14,45,68,353644
11,B,History of Josef Hoffman from the Histories of Poor Boys and Famous People series of booklets (N79) for Duke brand cigarettes,W. Duke/ Sons & Co.,1888,Portraits,34,4978,Eremitage,Palace Square 2/St Petersburg/Russland,7,7,8,21,60,75,423762
12,B,No. 18. Les Petits Parrains (The Small Sponsors) from Seconde Suite d'Estampes Pour servir à l'Histoire des Modes et du Costume en France dans le XVII siecle,Camligue,1776,Klassizismus,72,2587,The British Museum,Great Russell St/London WC1B 3DG/Vereinigtes Königreich,22,14,11,22,57,74,423806
13,B,Fifth Stone Sixth Stone,Lee Bontecou,1968,Hyperrealismus,60,4452,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,40,29,11,19,45,56,364861
14,B,William Franklin Bill Traffley Catcher Des Moines Prohibitionists from the Old Judge series (N172) for Old Judge Cigarettes,Goodwin & Company,1888,Portraits,22,2616,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,6,3,0,14,41,55,404493
15,B,Actress bending to side (W423),,ca. 1920–40,Portraits,66,2082,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,13,8,5,21,55,71,763188
16,B,Card Number 58 DeRoy from the Actors and Actresses series (N145-1) issued by Duke Sons & Co. to promote Cross Cut Cigarettes,W. Duke/ Sons & Co.,1880er,Portraits,77,4752,The British Museum,Great Russell St/London WC1B 3DG/Vereinigtes Königreich,6,3,14,25,40,57,643508
17,B,Design for Landau No. 3559,Brewster & Co.,1879,Impressionismus,74,1959,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,17,23,14,24,44,62,378181
18,B,Otter from the Quadrupeds series (N21) for Allen & Ginter Cigarettes,Allen & Ginter,1890,Tiere,73,2570,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,3,7,5,20,56,75,409171
19,B,Russ Ford Buffalo from Coupon Cigarettes Baseball Issue 1914-1916,Coupon Cigarettes,1914–16,Portraits,68,1279,The British Museum,Great Russell St/London WC1B 3DG/Vereinigtes Königreich,6,3,13,19,48,74,418052
20,B,Auguste Rodin calling card,Anonymous,ca. 1880–1917,Sonstiges,9,4418,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,4,8,2,12,56,72,724991
