1,B,The Death of Lucretia from Allen's New and Impartial Roman History,William Blake,1797,Klassizismus,48,4234,Eremitage,Palace Square 2/St Petersburg/Russland,14,8,7,16,59,75,383682
3,B,Howling wolves,Rufino Tamayo,ca. 1960,Sonstiges,20,4507,Eremitage,Palace Square 2/St Petersburg/Russland,65,65,9,23,40,75,360225
4,B,Portrait of a Woman,James Nixon,ca. 1790,Portraits,56,3641,National Gallery,Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich,5,4,2,12,60,73,437226
5,B,Lillies Atkins Garden Soledad Plantation Cienfuegos Cuba 1959,Emilio Sanchez,1959,Sonstiges,68,4964,National Gallery,Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich,30,23,14,19,56,67,430886
6,B,Tom Poholsky Pitcher Chicago Cubs from the 1957 Topps Regular Issue series (R414-12) issued by Topps Chewing Gum Company.,Topps Chewing Gum Company,1957,Sonstiges,72,4149,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,8,6,4,23,52,65,775944
7,B,Card Number 55 Mike Norris Oakland A's,Topps Chewing Gum Company,1981,Neo-Expressionismus,51,4976,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,8,6,6,17,48,73,718470
8,B,Descent from the cross bound in Monuments des Arts du Dessin volume 2 plate 109,Jean-Baptiste Mauzaisse,1829,Romantik,62,2059,Bode-Museum,Am Kupfergraben/10117 Berlin/Deutschland,53,36,3,17,55,73,646242
9,B,No. 1: Six Views in Cork,Newman & Co.,19. Jahrhundert,Sonstiges,17,4842,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,10,18,7,25,44,62,364913
10,B,Hellé,Théophile-Alexandre Steinlen,1896,Expressionismus,61,3064,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,80,60,9,24,44,63,788349
11,B,Design for Phaeton no. 490,Brewster & Co.,1850–74,Sonstiges,48,1243,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,16,25,4,24,59,71,379809
12,B,Royal American Magazine or Universal Repository of Instruction and Amusement vol. I,Isaiah Thomas,Januar–Dez. 1774,Klassizismus,77,3588,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,23,14,4,21,50,61,356473
13,B,Miss Oteri from the Actors and Actresses series (N145-8) issued by Duke Sons & Co. to promote Duke Cigarettes,W. Duke/ Sons & Co.,ca. 1891,Portraits,46,4282,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,6,3,9,22,48,59,649455
14,B,Bride Rose from the Flowers series for Old Judge Cigarettes,Goodwin & Company,1890,Pflanzen,36,2949,National Gallery,Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich,6,3,8,18,51,63,400562
15,B,Philemon and Baucis,Timothy Cole,1927,Surrealismus,33,3024,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,27,32,0,5,56,72,432248
16,B,Panel of ornement with a crouching sphinx from Montants d'ornement left-hand side of plate 5,Jean Le Pautre,17. Jahrhundert,Sonstiges,14,3377,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,25,7,13,25,41,67,434350
17,B,Bobby Del Greco Outfield St. Louis Cardinals from the 1957 Topps Regular Issue series (R414-12) issued by Topps Chewing Gum Company.,Topps Chewing Gum Company,1957,Sonstiges,9,1273,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,8,6,13,23,54,68,776876
18,B,Card Number 151 Johnnie LeMaster San Francisco Giants,Topps Chewing Gum Company,1977,Hyperrealismus,19,1806,National Gallery,Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich,8,6,7,17,50,68,720630
19,B,Happy Thought (for Punch December 16 1876),Charles Samuel Keene,1876,Impressionismus,51,3855,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,11,18,0,10,55,65,342259
20,B,Youth,Abraham Bosse,1636,Barock,28,1969,Bode-Museum,Am Kupfergraben/10117 Berlin/Deutschland,26,32,0,25,46,66,386154
21,B,St. Thomas the Apostle for the Church of St. Vaast in Arras,Alexandre Denis Abel de Pujol,1832,Religion,29,2386,Rijksmuseum Amsterdam,Museumstraat 1/1071 XX Amsterdam/Niederlande,13,24,5,17,52,74,334691
22,B,Design for a frame after the Galerie de François 1er at Fontainebleau,Jacques Androuet Du Cerceau,1545–47,Sonstiges,71,1441,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,17,12,12,20,52,71,726601
23,B,Four Musical Putti  (in Sketch Book With Drawings on Twenty-six Leaves),Frederic/ Lord Leighton,ca. 1849,Romantik,5,3496,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,20,27,14,24,40,65,418108
24,B,The Domestic Monthly An Illustrated Magazine of Fashion Literature and the Fine Arts Vol. XXI No.1,Blake & Co.,April 1884,Sonstiges,18,3519,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,27,20,9,19,43,59,709269
25,B,The Court of the Princess,Adolphe Monticelli,Zwischen 1844 und 1886,Sonstiges,75,3423,National Gallery,Trafalgar Square/London WC2N 5DN/Vereinigtes Königreich,38,59,11,19,51,71,437147
26,B,Ghirlanda: Di sei vaghi fiori scielti da piu famosi Giardini d'Italia page 3 (recto),Pietro Paulo Tozzi,Oktober 1 1604,Barock,54,1156,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,15,20,15,23,54,68,662595
28,B,Circus girl from 'Titeres Populares Mexicanos' (Mexican popular puppets),Lola Cueto,1946 (veröffentlicht 1947),Sonstiges,63,3886,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,14,19,14,22,44,65,757754
29,B,Card Number 229 Miss Flint from the Actors and Actresses series (N145-2) issued by Duke Sons & Co. to promote Cross Cut Cigarettes,W. Duke/ Sons & Co.,1880er,Portraits,4,3841,Eremitage,Palace Square 2/St Petersburg/Russland,6,3,15,22,53,65,644918
30,B,Arrivée de J.J. Rousseau aux Champs-Elysées (Arrival of J.J. Rousseau in Eliseum),Charles François Adrien Macret,1782,Klassizismus,16,2592,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,29,33,6,20,59,72,425588
31,B,The Summation,William Gropper,1915–57,Sonstiges,25,4956,The British Museum,Great Russell St/London WC1B 3DG/Vereinigtes Königreich,44,57,10,17,55,69,373467
32,B,Wood Pigeon,Joseph Wolf,1853,Impressionismus,78,1189,Uffizien,Piazzale degli Uffizi 6/50122 Firenze FI/Italien,8,8,2,7,57,67,888972
33,B,Plate 4: The Sacrifice of Abraham from Genesis Chapter 22 after a lost fresco in the basamento of Bay 4 of the Vatican Loggia,Pietro Santi Bartoli,1650–77,Sonstiges,43,1364,Rijksmuseum Amsterdam,Museumstraat 1/1071 XX Amsterdam/Niederlande,8,22,9,18,43,55,650731
34,B,Miss Chambers,Isabella Beetham,nach 1782,Portraits,35,4552,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,5,4,8,22,40,72,435634
35,B,Distinguished Men Who Helped the American Cause from Interstate News Service History Cards (W612),,1926,Surrealismus,68,4264,Metropolitan Museum of Art,1000 5th Ave/New York/NY 10028/Vereinigte Staaten,9,12,1,23,46,64,824061
36,B,Danny Murtaugh Manager Pittsburgh Pirates from the 1960 Topps Regular Issue series (R414-19) issued by Topps Chewing Gum Company,Topps Chewing Gum Company,1960,Sonstiges,3,3487,Museo del Prado,C. de Ruiz de Alarcón 23/28014 Madrid/Spanien,8,6,6,24,53,64,777368
37,B,Drawing of an Urn,Anonymous/ French/ 18th century,18. Jahrhundert,Sonstiges,79,1848,Musée du Louvre,Rue de Rivoli/75001 Paris/Frankreich,23,15,11,19,42,75,388076
